round,population,food,intelligence,wisdom,strength,dexterity,charisma,comeliness,constitution,metabolic_rate
0,1183,151674.15604810798,100.60900276547142,100.20579252494589,102.91099928572031,101.68507968308096,102.74361994628185,97.5008734871999,99.19104897696094,97.28777612209265
1,1294,155277.63837072282,100.4154464074021,99.97524676546038,102.8160314409907,101.35985725249037,102.78498160326787,97.79933988726225,101.95476106201302,99.42640780368778
2,1478,161682.98997892532,100.1114397555458,100.81211556498178,105.04857240209873,103.34885136294815,102.98157092754768,97.8351069510851,103.36643584228264,97.73276532161566
3,1682,167569.1344556122,100.3817374157072,101.01805718302086,104.90321771162445,104.68564330312903,103.33214134298042,97.7212731803674,105.69249498319365,96.67150123410777
4,1884,176105.03889611983,100.819722892687,101.0138275789763,105.38248528147388,105.32258968694536,103.34213286853186,98.87284930177624,107.82162217400374,97.22304669804797
5,2055,183585.58090365463,100.72090535358467,100.37504013915351,105.4870602323541,105.44162106168763,104.48974800539389,98.58581485462763,110.5179191713337,98.84842868339798
6,2223,191109.2892104816,100.56967887841425,100.68964581422946,105.69513592424659,104.6115022134443,103.85729388027352,97.7836504459623,113.26871356974003,100.78639847353999
7,2432,198932.39118560523,100.44555012986277,101.02542206789519,105.16395898462345,104.76016403090898,104.19826081899362,97.68743380215977,116.21387355493837,102.8966733524867
8,2554,205140.27260155277,100.41468549220004,101.02623721143523,105.68993895118986,104.78245310292478,104.84454107372842,97.99864832773535,118.28197708819859,105.12988350773497
9,2725,212109.92318566958,100.605445059065,102.06865763749329,106.0914222366448,105.34617089126155,104.44015070011149,97.91356126086158,121.22710869359318,107.10702707200412
10,2841,218567.53712566648,100.75547510265702,103.10032950655771,105.78208340665529,105.72473193232864,104.57886388314002,98.45465650138814,123.04321381401532,109.13835005315599
11,2984,223421.30732573627,100.68865929162635,103.17805239505267,106.76449268171164,106.53089950078028,104.67964432173683,98.51259557401445,125.90911225688032,111.48656421183777
12,3069,226998.02104125556,100.63963177138102,103.53124869836586,108.0989304019024,105.78749019736561,104.51993632517016,98.3583633833214,127.67354032111966,113.82377256466641
13,3214,228271.81171133136,100.56418964771088,104.39299526969155,108.35433294174747,105.9289824221103,104.49374565057158,98.67445426813096,129.87392202265661,117.06902995167268
14,3343,168686.6335469173,100.62569165670251,104.8122635884184,109.17203682592543,105.75126194908572,104.60558605578208,98.34640874555578,132.24956601984087,119.55325736468819
15,3508,166435.5552070841,100.61651286969835,104.81245635302983,110.23104844385678,105.53702822549928,104.04291173202128,99.08963764655346,134.00166467849797,121.92835879177022
16,3752,162970.8496520503,100.68037968288188,104.91327400598671,110.70215690770632,105.8671767641093,103.38272387239586,99.19922576715072,136.7571512328556,124.70637305817064
17,3947,158417.6741789369,100.62527247524265,105.29329200516253,111.98457911506306,105.84808587669406,103.17574012909068,99.87446039560787,139.41484347172235,127.21063030227312
18,4202,155937.86803292815,100.81587943514243,105.62402723498364,112.77477783426829,106.07375638564343,103.03763148066014,99.79228247360501,141.47337211508133,129.61326162765945
19,4454,149899.34607608174,100.84676972163525,105.65735346960662,113.48333623938473,105.50686018187336,103.01629655160593,100.08852963604525,143.2282716423527,132.04762807407454
