round,good,executed_price,executed_qty
0,apple,0.08519092101543027,0.5135727405748233
1,apple,0.2531371461843344,6.910190802659181
2,apple,0.40921105720632395,13.231098877185977
3,apple,0.49199164122130673,14.991229237031952
4,apple,0.5409044080028207,19.10114714375618
5,apple,0.5872426212431988,28.9966067183623
6,apple,0.6323295662198557,26.891090871517097
7,apple,0.6482210600235333,33.403982255839544
8,apple,0.6823051230158663,40.16264372759725
9,apple,0.700087770398859,36.38732615829619
10,apple,0.7109283264385613,36.11075776030827
11,apple,0.7303197081653631,44.96693865827744
12,apple,0.7477454978297602,36.4686736041223
13,apple,0.7632808932084012,37.99991803105142
14,apple,0.7970176537578314,47.33899309932645
15,apple,0.8332919850941148,43.4472467502456
16,apple,0.9298180993228071,34.686928286199986
17,apple,1.2781943248364016,36.73062549482986
18,apple,1.3435793203475914,38.500134197375395
19,apple,1.5948598922464334,29.420744165213684
0,barracuda,0.9698510284590776,5.466190563006284
1,barracuda,0.29457720833849105,4.328910089367072
2,barracuda,0.3135366038305077,5.639155869279207
3,barracuda,0.32859120247864015,6.560368953842877
4,barracuda,0.353277040892847,7.0268917769294
5,barracuda,0.38681066967600436,8.408737171738158
6,barracuda,0.41483974924939254,8.340184149256338
7,barracuda,0.4406144157694681,9.245696484473338
8,barracuda,0.47478797611155227,15.367278034700952
9,barracuda,0.5212529320491468,10.628333092126109
10,barracuda,0.5301907764217075,11.493125058000158
11,barracuda,0.5514128457784296,15.11987099453318
12,barracuda,0.5812495566143344,18.69535172906127
13,barracuda,0.5970578219404026,15.158001082766017
14,barracuda,0.6089340643319684,15.691936704513846
15,barracuda,0.6173875348152352,17.72521861962316
16,barracuda,0.6255446061768757,15.931836024477755
17,barracuda,0.6397081283369277,23.536944774439966
18,barracuda,0.6504544051067433,21.59942979747425
19,barracuda,0.6598594198468227,26.12897978769643
